PMID,PMCID,Source,Year,Title,Journal,Authors,DOI,GPR62 Relevance,Evidence Type,Important Terms,Abstract,PubMed Link,PMC Link,Article Status
41394987,PMC12624630,PubMed + PMC,2025,"Retraction notice to ""Knockdown of long non-coding RNA SNHG3 inhibits proliferation, migration and invasion of human thyroid cancer via miR-339-5p/GPR62 axis"" [Heliyon 9 (2023) e19713].",Heliyon,Jin Tang; Xiao-Xia Huang,10.1016/j.heliyon.2025.e43906,GPR62 central topic,Biological/context evidence,,[This retracts the article DOI: 10.1016/j.heliyon.2023.e19713.].,https://pubmed.ncbi.nlm.nih.gov/41394987/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12624630/,Retraction notice
40538218,,PubMed,2025,Orphan G Protein-Coupled Receptors: A Novel Research Frontier in Autism and Associated Disorders.,Archiv der Pharmazie,Hanieh Gholamalizadeh; Vafa Baradaran Rahimi; Vahid Reza Askari,10.1002/ardp.70018,GPR62 discussed in article,Ligand/binding related,ligand,"G-protein coupled receptors (GPCRs) are a diverse group of membrane proteins crucial for transmitting extracellular signals into cells, regulating numerous neurological processes. Among GPCRs, orphan receptors, whose natural ligands and functions remain unidentified, have garnered increasing research attention. Olfactory receptors (ORs), the most diverse GPCR family, are widely expressed in the central nervous system (CNS) and are implicated in autism spectrum disorder (ASD) and related behavioral and psychiatric conditions. This review highlights the altered expression of specific orphan and olfactory GPCRs-such as RORα, RORβ, GPR37, GPR62, OR1C1, and OR52M1-and their roles in ASD development. It explores their mechanisms of action, neural network interactions, and contributions to ASD etiology, as well as associated disorders like ADHD, schizophrenia, epilepsy, anxiety, depression, and sleep disorders. The review also addresses challenges in orphan GPCR research, such as identifying ligands and understanding their physiological roles, while emphasizing their potential as therapeutic targets. By summarizing preclinical and clinical findings, this review underscores the emerging significance of orphan receptors in ASD, offering a foundation for future research to advance understanding and develop innovative treatments for autism and related conditions.",https://pubmed.ncbi.nlm.nih.gov/40538218/,,Review/context article
37809703,PMC10559012,PubMed + PMC,2023,"Knockdown of long non-coding RNA SNHG3 inhibits proliferation, migration and invasion of human thyroid cancer via miR-339-5p/GPR62 axis.",Heliyon,Jin Tang; Xiao-Xia Huang,10.1016/j.heliyon.2023.e19713,GPR62 central topic,Biological/context evidence,,"Previous studies have implicated SNHG3, a long non-coding RNA, in various human cancers, suggesting its oncogenic role. However, its specific involvement in thyroid cancer and the underlying molecular mechanisms remain unclear. Therefore, this study aims to elucidate the role of SNHG3 in human thyroid cancer and its interaction with the miR-339-5p/GPR62 axis. Understanding these mechanisms could provide insights into potential therapeutic targets for managing thyroid cancer. Results revealed significant upregulation of SNHG3 in human thyroid cancer tissues and cell lines. Knockdown of SNHG3 significantly suppressed proliferation, migration and invasion of CUTC5 and IHH-4 thyroid cancer cells. Knockdown of SNHG3 induces apoptosis in CUTC5 and IHH-4 cells and also inhibits the growth of xenografted tumors in vivo. Different in vitro assays revealed the interaction of SNHG3 with microRNA-339-5p (miR-339-5p) in thyroid cancer cells. Expression of miR-339-5p was significantly downregulated in thyroid cancer tissues and cell lines. However, the knockdown of SNHG3 caused significant upregulation of miR-339-5p. Interestingly, overexpression of miR-339-5p exerted tumor-suppressive effects in CUTC5 and IHH-4 cells via post-transcriptional suppression of GPR62. Knockdown of GPR62 significantly inhibited the proliferation, migration and invasion of CUTC5 and IHH-4 cells. Nonetheless, inhibition of miR-339-5p or overexpression of GPR62 avoids the growth inhibitory effects of SNHG3 knockdown in CUTC5 and IHH-4 cells. Results indicated that SNHG3 exerts oncogenic molecular function in thyroid cancer via miR-339-5p/GPR62 axis and may act as a therapeutic target for its management.",https://pubmed.ncbi.nlm.nih.gov/37809703/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10559012/,Retracted article
34844642,PMC8630896,PubMed + PMC,2021,The oligodendrocyte-enriched orphan G protein-coupled receptor Gpr62 is dispensable for central nervous system myelination.,Neural development,Curtis M Hay; Stacey Jackson; Stanislaw Mitew; Daniel J Scott; Matthias Koenning; AeSoon L Bensen; Helena Bujalka; Trevor J Kilpatrick; Ben Emery,10.1186/s13064-021-00156-y,GPR62 central topic,Signaling/function,,"Myelination is a highly regulated process in the vertebrate central nervous system (CNS) whereby oligodendrocytes wrap axons with multiple layers of insulating myelin in order to allow rapid electrical conduction. Establishing the proper pattern of myelin in neural circuits requires communicative axo-glial interactions, however, the molecular interactions that occur between oligodendrocytes and axons during developmental myelination and myelin maintenance remain to be fully elucidated. Our previous work identified G protein-coupled receptor 62 (Gpr62), an uncharacterized orphan g-protein coupled receptor, as being selectively expressed by mature oligodendrocytes within the CNS, suggesting a potential role in myelination or axoglial interactions. However, no studies to date have assessed the functional requirement for Gpr62 in oligodendrocyte development or CNS myelination. To address this, we generated a knockout mouse strain lacking the Gpr62 gene. We assessed CNS myelination during both postnatal development and adulthood using immunohistochemistry, electron microscopy and western blot. In addition, we utilized AAV-mediated expression of a tagged Gpr62 in oligodendrocytes to determine the subcellular localization of the protein in vivo. We find that virally expressed Gpr62 protein is selectively expressed on the adaxonal myelin layer, suggestive of a potential role for Gpr62 in axo-myelinic signaling. Nevertheless, Gpr62 knockout mice display normal oligodendrocyte numbers and apparently normal myelination within the CNS during both postnatal development and adulthood. We conclude that in spite of being well-placed to mediate neuronal-oligodendrocyte communications, Gpr62 is overall dispensable for CNS myelination.",https://pubmed.ncbi.nlm.nih.gov/34844642/,https://pmc.ncbi.nlm.nih.gov/articles/PMC8630896/,Relevant GPR62 article
33551743,PMC7863983,PubMed + PMC,2020,"Gonadal Cycle-Dependent Expression of Genes Encoding Peptide-, Growth Factor-, and Orphan G-Protein-Coupled Receptors in Gonadotropin- Releasing Hormone Neurons of Mice.",Frontiers in molecular neuroscience,Csaba Vastagh; Veronika Csillag; Norbert Solymosi; Imre Farkas; Zsolt Liposits,10.3389/fnmol.2020.594119,GPR62 discussed in article,Ligand/binding related,ligand,"Rising serum estradiol triggers the surge release of gonadotropin-releasing hormone (GnRH) at late proestrus leading to ovulation. We hypothesized that proestrus evokes alterations in peptidergic signaling onto GnRH neurons inducing a differential expression of neuropeptide-, growth factor-, and orphan G-protein-coupled receptor (GPCR) genes. Thus, we analyzed the transcriptome of GnRH neurons collected from intact, proestrous and metestrous GnRH-green fluorescent protein (GnRH-GFP) transgenic mice using Affymetrix microarray technique. Proestrus resulted in a differential expression of genes coding for peptide/neuropeptide receptors including Adipor1, Prokr1, Ednrb, Rtn4r, Nmbr, Acvr2b, Sctr, Npr3, Nmur1, Mc3r, Cckbr, and Amhr2. In this gene cluster, Adipor1 mRNA expression was upregulated and the others were downregulated. Expression of growth factor receptors and their related proteins was also altered showing upregulation of Fgfr1, Igf1r, Grb2, Grb10, and Ngfrap1 and downregulation of Egfr and Tgfbr2 genes. Gpr107, an orphan GPCR, was upregulated during proestrus, while others were significantly downregulated (Gpr1, Gpr87, Gpr18, Gpr62, Gpr125, Gpr183, Gpr4, and Gpr88). Further affected receptors included vomeronasal receptors (Vmn1r172, Vmn2r-ps54, and Vmn1r148) and platelet-activating factor receptor (Ptafr), all with marked downregulation. Patch-clamp recordings from mouse GnRH-GFP neurons carried out at metestrus confirmed that the differentially expressed IGF-1, secretin, and GPR107 receptors were operational, as their activation by specific ligands evoked an increase in the frequency of miniature postsynaptic currents (mPSCs). These findings show the contribution of certain novel peptides, growth factors, and ligands of orphan GPCRs to regulation of GnRH neurons and their preparation for the surge release.",https://pubmed.ncbi.nlm.nih.gov/33551743/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7863983/,Relevant GPR62 article
32894219,PMC7476762,PubMed + PMC,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.,eLife,Francisca Benavente; Katja M Piltti; Mitra J Hooshmand; Aileen A Nava; Anita Lakatos; Brianna G Feld; Dana Creasman; Paul D Gershon; Aileen Anderson,10.7554/eLife.55732,GPR62 discussed in article,Ligand/binding related,c1q; cd44; bai1; adcy5; c-met; ligand,"C1q plays a key role as a recognition molecule in the immune system, driving autocatalytic complement cascade activation and acting as an opsonin. We have previously reported a non-immune role of complement C1q modulating the migration and fate of human neural stem cells (hNSC); however, the mechanism underlying these effects has not yet been identified. Here, we show for the first time that C1q acts as a functional hNSC ligand, inducing intracellular signaling to control cell behavior. Using an unbiased screening strategy, we identified five transmembrane C1q signaling/receptor candidates in hNSC (CD44, GPR62, BAI1, c-MET, and ADCY5). We further investigated the interaction between C1q and CD44 , demonstrating that CD44 mediates C1q induced hNSC signaling and chemotaxis in vitro, and hNSC migration and functional repair in vivo after spinal cord injury. These results reveal a receptor-mediated mechanism for C1q modulation of NSC behavior and show that modification of C1q receptor expression can expand the therapeutic window for hNSC transplantation.",https://pubmed.ncbi.nlm.nih.gov/32894219/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7476762/,Relevant GPR62 article
32599826,PMC7349732,PubMed + PMC,2020,Orphan G Protein Coupled Receptors in Affective Disorders.,Genes,Lyndsay R Watkins; Cesare Orlandi,10.3390/genes11060694,GPR62 discussed in article,Ligand/binding related,gpr61; gpr135; gpr50; ligand,"G protein coupled receptors (GPCRs) are the main mediators of signal transduction in the central nervous system. Therefore, it is not surprising that many GPCRs have long been investigated for their role in the development of anxiety and mood disorders, as well as in the mechanism of action of antidepressant therapies. Importantly, the endogenous ligands for a large group of GPCRs have not yet been identified and are therefore known as orphan GPCRs (oGPCRs). Nonetheless, growing evidence from animal studies, together with genome wide association studies (GWAS) and post-mortem transcriptomic analysis in patients, pointed at many oGPCRs as potential pharmacological targets. Among these discoveries, we summarize in this review how emotional behaviors are modulated by the following oGPCRs: ADGRB2 (BAI2), ADGRG1 (GPR56), GPR3, GPR26, GPR37, GPR50, GPR52, GPR61, GPR62, GPR88, GPR135, GPR158, and GPRC5B.",https://pubmed.ncbi.nlm.nih.gov/32599826/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7349732/,Review/context article
29699692,,PubMed,2018,Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function.,International review of cell and molecular biology,Atsuro Oishi; Erika Cecon; Ralf Jockers,10.1016/bs.ircmb.2018.02.002,GPR62 discussed in article,Negative ligand evidence,melatonin; gpr61; gpr135; gpr50; mt2; ligand; binding,"The melatonin receptor subfamily is composed of three members, MT1 and MT2, which are binding to melatonin, and GPR50, which shows high sequence homology to MT1 and MT2 but does not bind to melatonin or any other known ligand. An interesting feature of these receptors is their capacity to form homo- and heteromers between each other and also with other GPCRs. The following heteromers have been described: MT1/MT2, MT1/GPR50, and heteromers composed of MT2 and the serotonin 5-HT2c receptor or the orphan GPR61, GPR62, and GPR135 receptors. These heteromers represent novel pharmacological entities as they exhibit functional properties that are different from those of the corresponding homomers. Formation of several of these heteromers has been confirmed in tissues. MT2/5-HT2c heteromers are targeted by the clinically relevant antidepressant agomelatine, and MT1/MT2 heteromers regulate nocturnal retinal light sensitivity. Here, we resume our current knowledge on melatonin receptor heteromerization and discuss how it contributes to the diversification of the function of melatonin receptors.",https://pubmed.ncbi.nlm.nih.gov/29699692/,,Relevant GPR62 article
28912303,,PubMed,2017,GPR62 constitutively activates cAMP signaling but is dispensable for male fertility in mice.,"Reproduction (Cambridge, England)",Tomoyuki Muroi; Yuri Matsushima; Ryota Kanamori; Hikari Inoue; Wataru Fujii; Keiichiro Yogo,10.1530/REP-17-0333,GPR62 central topic,Ligand/binding related,camp; gpr61; ligand; constitutive,"G-protein-coupled receptors (GPCRs) participate in diverse physiological functions and are promising targets for drug discovery. However, there are still over 140 orphan GPCRs whose functions remain to be elucidated. Gpr62 is one of the orphan GPCRs that is expressed in the rat and human brain. In this study, we found that Gpr62 is also expressed in male germ cells in mice, and its expression increases along with sperm differentiation. GPR62 lacks the BBXXB and DRY motifs, which are conserved across many GPCRs, and it was able to induce cAMP signaling in the absence of a ligand. These structural and functional features are conserved among mammals, and the mutant analysis of GPR62 has revealed that lacking of these motifs is involved in the constitutive activity. We also found that GPR62 can homooligomerize, but it is not sufficient for its constitutive activity. We further investigated its physiological function by using Gpr62 knockout (Gpr62-/-) mice. Gpr62-/- mice were born normally and did not show any abnormality in growth and behavior. In addition, both male and female Gp62-/- mice were fertile, and the differentiation and motility of spermatozoa were normal. We also found that Gpr61, the gene most similar to Gpr62 in the GPCR family shows a constitutive activity and an expression pattern similar to those of Gpr62 Our results suggest that GPR62 constitutively activates the cAMP pathway in male germ cells but is dispensable for male fertility, which is probably due to its functional redundancy with GPR61.",https://pubmed.ncbi.nlm.nih.gov/28912303/,,Relevant GPR62 article
28827538,PMC5566548,PubMed + PMC,2017,"Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions.",Scientific reports,Atsuro Oishi; Angeliki Karamitri; Romain Gerbier; Olivier Lahuna; Raise Ahmad; Ralf Jockers,10.1038/s41598-017-08996-7,GPR62 central topic,Negative ligand evidence,melatonin; camp; gpr61; gpr135; mt2; ligand; binding,"Understanding the function of orphan G protein-coupled receptors (GPCRs), whose cognate ligand is unknown, is of major importance as GPCRs are privileged drug targets for many diseases. Recent phylogenetic studies classified three orphan receptors, GPR61, GPR62 and GPR135 among the melatonin receptor subfamily, but their capacity to bind melatonin and their biochemical functions are not well characterized yet. We show here that GPR61, GPR62 and GPR135 do not bind [3H]-melatonin nor 2-[125I]iodomelatonin and do not respond to melatonin in several signaling assays. In contrast, the three receptors show extensive spontaneous ligand-independent activities on the cAMP, inositol phosphate and ß-arrestin pathways with distinct pathway-specific profiles. Spontaneous ß-arrestin recruitment internalizes all three GPRs in the endosomal compartment. Co-expression of the melatonin binding MT2 receptor with GPR61, GPR62 or GPR135 has several consequences such as (i) the formation of receptor heteromers, (ii) the inhibition of melatonin-induced ß-arrestin2 recruitment to MT2 and (iii) the decrease of elevated cAMP levels upon melatonin stimulation in cells expressing spontaneously active GPR61 and GPR62. Collectively, these data show that GPR61, GPR62 and GPR135 are unable to bind melatonin, but show a reciprocal regulatory interaction with MT2 receptors.",https://pubmed.ncbi.nlm.nih.gov/28827538/,https://pmc.ncbi.nlm.nih.gov/articles/PMC5566548/,Relevant GPR62 article
