Molecule / Protein,Entity Class,Relationship to GPR62,Paper Count,PMIDs,PMCIDs,Years,Article Titles
GPR61,Protein / gene product,Related orphan GPCR,7,11165367; 26384023; 28289782; 28827538; 28912303; 29699692; 32599826,PMC4575141; PMC5566548; PMC7349732,2001; 2015; 2017; 2018; 2020,"Identification of four novel human G protein-coupled receptors expressed in the brain. | Neuro-psychopharmacological perspective of Orphan receptors of Rhodopsin (class A) family of G protein-coupled receptors. | Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions. | Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function. | Orphan G Protein Coupled Receptors in Affective Disorders. | Constitutive Activity among Orphan Class-A G Protein Coupled Receptors. | GPR62 constitutively activates cAMP signaling but is dispensable for male fertility in mice."
GPR50,Protein / gene product,Related melatonin-receptor family context,3,28289782; 29699692; 32599826,PMC7349732,2017; 2018; 2020,Neuro-psychopharmacological perspective of Orphan receptors of Rhodopsin (class A) family of G protein-coupled receptors. | Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function. | Orphan G Protein Coupled Receptors in Affective Disorders.
GPR135,Protein / gene product,Related orphan GPCR,3,28827538; 29699692; 32599826,PMC5566548; PMC7349732,2017; 2018; 2020,"Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions. | Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function. | Orphan G Protein Coupled Receptors in Affective Disorders."
cAMP,Second messenger,Downstream signaling / constitutive activity,2,28827538; 28912303,PMC5566548,2017,"Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions. | GPR62 constitutively activates cAMP signaling but is dispensable for male fertility in mice."
MT2A,Protein / gene product,Melatonin-receptor interaction context,2,28827538; 29699692,PMC5566548,2017; 2018,"Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions. | Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function."
SNHG3,Protein / gene product,Gene-regulatory GPR62 context,2,37809703; 41394987,PMC10559012; PMC12624630,2023; 2025,"Knockdown of long non-coding RNA SNHG3 inhibits proliferation, migration and invasion of human thyroid cancer via miR-339-5p/GPR62 axis. | Retraction notice to ""Knockdown of long non-coding RNA SNHG3 inhibits proliferation, migration and invasion of human thyroid cancer via miR-339-5p/GPR62 axis"" [Heliyon 9 (2023) e19713]."
Colforsin,Experimental / pharmacological compound,Assay / signaling compound,1,26384023,PMC4575141,2015,Constitutive Activity among Orphan Class-A G Protein Coupled Receptors.
Melatonin,Hormone / endogenous small molecule,Experimentally tested — negative direct binding,1,28827538,PMC5566548,2017,"Orphan GPR61, GPR62 and GPR135 receptors and the melatonin MT2 receptor reciprocally modulate their signaling functions."
MT1IP,Protein / gene product,Melatonin-receptor interaction context,1,29699692,,2018,Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function.
HTR2C,Protein / gene product,Related receptor / heteromerization context,1,29699692,,2018,Melatonin Receptor Signaling: Impact of Receptor Oligomerization on Receptor Function.
C1QA,Protein / endogenous ligand candidate,Potential protein ligand / receptor-screen context,1,32894219,PMC7476762,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.
CD44,Protein / gene product,Co-identified receptor/signaling candidate,1,32894219,PMC7476762,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.
ADGRB1,Protein / gene product,Co-identified receptor/signaling candidate,1,32894219,PMC7476762,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.
MET,Protein / gene product,Co-identified receptor/signaling candidate,1,32894219,PMC7476762,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.
ADCY5,Protein / gene product,Co-identified receptor/signaling candidate,1,32894219,PMC7476762,2020,Novel C1q receptor-mediated signaling controls neural stem cell behavior and neurorepair.
