Rank,Molecule,Candidate Type,Entity Class,Related Receptors,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Literature Score,Receptor Relevance,Priority Score,Source,Years,PMIDs,PMCIDs,Journals,DOIs,Article Titles,Article Links,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step
1,5-(Nonyloxy)Tryptamine,Close/related orphan GPCR candidate,Chemical / small molecule,GPR61,No,Yes,No,No,No,0.9802038669586182,High,Direct receptor evidence,B,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,3,0.85,0.8556325135231019,PubMed,2019,31352450,,Pharmacology,10.1159/000501926,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,https://pubmed.ncbi.nlm.nih.gov/31352450/,1797,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN,1,5-(Nonyloxy)Tryptamine has experimental receptor evidence involving GPR61 and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay
2,luzindole,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,68,0.5,0.8444371819496155,PubMed + PMC,2022; 2023; 2025; 2026,34642909; 34910685; 35179400; 35247789; 35455066; 35588335; 35682961; 35795373; 35932205; 36018566; 36592515; 36799176; 36982863; 37394096; 37569306; 37717795; 37742475; 37834395; 39537039; 40801619; 40871079; 42118091; 42166832,PMC10051954; PMC10419066; PMC10573520; PMC11072751; PMC12345928; PMC12389105; PMC13165690; PMC9029934; PMC9181011; PMC9251177; PMC9942260,"Animal science journal = Nihon chikusan Gakkaiho; Biochemical and biophysical research communications; Cells; Cellular and molecular life sciences : CMLS; Cryobiology; Current eye research; FASEB journal : official publication of the Federation of American Societies for Experimental Biology; Free radical biology & medicine; Frontiers in cardiovascular medicine; International journal of molecular sciences; Journal of molecular endocrinology; Life (Basel, Switzerland); Life sciences; Molecular medicine reports; Pharmaceutics; Reproduction in domestic animals = Zuchthygiene; Reproductive sciences (Thousand Oaks, Calif.); The Journal of nutritional biochemistry; Theriogenology; Tissue & cell",10.1007/s00018-022-04330-1; 10.1007/s43032-021-00768-z; 10.1016/j.bbrc.2023.09.050; 10.1016/j.cryobiol.2026.105645; 10.1016/j.freeradbiomed.2023.09.012; 10.1016/j.jnutbio.2024.109800; 10.1016/j.lfs.2023.121906; 10.1016/j.theriogenology.2022.12.036; 10.1016/j.tice.2022.101763; 10.1080/02713683.2021.2022163; 10.1096/fj.202601214R; 10.1111/asj.13760; 10.1111/rda.14237; 10.1530/JME-21-0155; 10.3389/fcvm.2022.885293; 10.3390/cells14151187; 10.3390/ijms23116284; 10.3390/ijms24065789; 10.3390/ijms241511931; 10.3390/ijms241914947; 10.3390/life12040574; 10.3390/pharmaceutics17081057; 10.3892/mmr.2023.12958,"Protective effects of melatonin on mouse ovarian tissue against oxidative stress and ferroptosis may involve the MT1 receptor. | Orchestration of PKC-Mediated Inhibition and Calcium Release-Mediated Activation of BK Currents in Rat Vascular Smooth Muscle Cells by Melatonin Confers a BK-Channel-Dependent Restraint on Melatonin-Induced Vasocontraction. | Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism. | Enhanced Modulation of CaMKII in Mouse Hippocampus by an Antidepressant-like Dose of Melatonin/Ketamine Combination. | Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats. | Melanogenesis Is Directly Affected by Metabolites of Melatonin in Human Melanoma Cells. | Effects of melatonin on dopaminergic neuron development via IP3-mediated mitochondrial Ca2+ regulation in autism spectrum disorder. | Melatonin alleviates early brain injury by inhibiting the NRF2-mediated ferroptosis pathway after subarachnoid hemorrhage. | Blockade of Melatonin Receptors Abolishes Its Antiarrhythmic Effect and Slows Ventricular Conduction in Rat Hearts. | Agomelatine inhibits platelet aggregation through melatonin receptor-dependent and independent mechanisms. | Regulation of Aqueous Humor Secretion by Melatonin in Porcine Ciliary Epithelium. | Melatonin attenuates high glucose‑induced endothelial cell pyroptosis by activating the Nrf2 pathway to inhibit NLRP3 inflammasome activation. | Effects of melatonin on development and hormone secretion of sheep theca cells in vitro. | Melatonin protects sheep endometrial epithelial cells against lipopolysaccharide-induced inflammation in vitro. | Regulatory role of melatonin on epidermal growth factor receptor, Type I collagen α1 chain, and caveolin 1 in granulosa cells of sheep antral follicles. | Melatonin Inhibits NF-κB/CREB/Runx2 Signaling and Alleviates Aortic Valve Calcification. | Bos taurus and Cervus elaphus as Non-Seasonal/Seasonal Models for the Role of Melatonin Receptors in the Spermatozoon. | Therapeutic potential of a single-dose melatonin in the attenuation of cardiac ischemia/reperfusion injury in prediabetic obese rats. | Anti-Inflammatory Effects of Melatonin in Rats with Induced Type 2 Diabetes Mellitus. | The melatonin MT2 receptor is involved in the anti-apoptotic effects of melatonin in rats with type 2 diabetes mellitus. | Copolymer Micelle-administered Melatonin Ameliorates Hyperosmolarity-induced Ocular Surface Damage through Regulating PINK1-mediated Mitophagy. | Effects of melatonin on the production of GnRH and LH in luteal cells of pregnant sows. | Melatonin Attenuates Cyclophosphamide-Induced Primordial Follicle Loss by Interaction with MT1 Receptor and Modulation of PTEN/Akt/FOXO3a Proteins in the Mouse Ovary.",https://pubmed.ncbi.nlm.nih.gov/42166832/ | https://pubmed.ncbi.nlm.nih.gov/42118091/ | https://pubmed.ncbi.nlm.nih.gov/40871079/ | https://pubmed.ncbi.nlm.nih.gov/40801619/ | https://pubmed.ncbi.nlm.nih.gov/39537039/ | https://pubmed.ncbi.nlm.nih.gov/37834395/ | https://pubmed.ncbi.nlm.nih.gov/37742475/ | https://pubmed.ncbi.nlm.nih.gov/37717795/ | https://pubmed.ncbi.nlm.nih.gov/37569306/ | https://pubmed.ncbi.nlm.nih.gov/37394096/ | https://pubmed.ncbi.nlm.nih.gov/36982863/ | https://pubmed.ncbi.nlm.nih.gov/36799176/ | https://pubmed.ncbi.nlm.nih.gov/36592515/ | https://pubmed.ncbi.nlm.nih.gov/36018566/ | https://pubmed.ncbi.nlm.nih.gov/35932205/ | https://pubmed.ncbi.nlm.nih.gov/35795373/ | https://pubmed.ncbi.nlm.nih.gov/35682961/ | https://pubmed.ncbi.nlm.nih.gov/35588335/ | https://pubmed.ncbi.nlm.nih.gov/35455066/ | https://pubmed.ncbi.nlm.nih.gov/35247789/ | https://pubmed.ncbi.nlm.nih.gov/35179400/ | https://pubmed.ncbi.nlm.nih.gov/34910685/ | https://pubmed.ncbi.nlm.nih.gov/34642909/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
3,Retinaldehyde,Close/related orphan GPCR candidate,Chemical / small molecule,GPR135,No,No,Yes,No,No,0.9044342041015625,High,Unvalidated,E,,3,0.75,0.7813822326660157,PubMed,2014,24503482,,Molecular phylogenetics and evolution,10.1016/j.ympev.2014.01.022,Sequence-structure based phylogeny of GPCR Class A Rhodopsin receptors.,https://pubmed.ncbi.nlm.nih.gov/24503482/,638015,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C,1,Retinaldehyde currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
4,dorsomorphin,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9938246011734009,High,Unvalidated,E,,3,0.5,0.7769859907627106,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,11524144,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,1,dorsomorphin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
5,SCHEMBL7562664,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9779346585273743,High,Unvalidated,E,,3,0.5,0.7666575280427933,PubMed,2025,40424842,,Journal of molecular graphics & modelling,10.1016/j.jmgm.2025.109086,In silico discovery of multi-target small molecules and efficient siRNA design to overcome drug resistance in breast cancer via local therapy.,https://pubmed.ncbi.nlm.nih.gov/40424842/,70130285,CC(CCC(=C(C)C)CCO)C1CCC2C1(CCC3C2CC=C4C3(CCCC4)C)C,1,SCHEMBL7562664 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
6,haloperidol decanoate,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9746153354644775,High,Indirect/context evidence,D,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",1,0.5,0.7604999680519104,PubMed,2024,38816228,,The Journal of pharmacology and experimental therapeutics,10.1124/jpet.123.002087,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",https://pubmed.ncbi.nlm.nih.gov/38816228/,52919,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,1,"haloperidol decanoate appears in literature related to MT2 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence
7,Sirolimus,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.997548520565033,High,Unvalidated,E,,19,0.25,0.7489065383672715,PubMed + PMC,2020; 2021; 2023; 2025,32329240; 32512114; 34576341; 36830733; 40069248; 40757510,PMC11897353; PMC7207164; PMC8467191; PMC9953062,Biomolecules; EMBO molecular medicine; International journal of molecular sciences; Journal of neurochemistry; Progress in neurobiology; Scientific reports,10.1016/j.pneurobio.2020.101846; 10.1038/s41598-025-92755-6; 10.1111/jnc.70179; 10.15252/emmm.201910605; 10.3390/biom13020364; 10.3390/ijms221810178,5-HT6 Receptor Inverse Agonists Modulate Diabetic Neuropathic Pain in Female Rats: Evidence for 5-HT6 Receptor Constitutive Activity. | Novel 5-HT6R modulators as mTOR-dependent neuronal autophagy inductors. | The Constitutive Activity of Spinal 5-HT6 Receptors Contributes to Diabetic Neuropathic Pain in Rats. | Blockade of Serotonin 5-HT6 Receptor Constitutive Activity Alleviates Cognitive Deficits in a Preclinical Model of Neurofibromatosis Type 1. | mTOR activation by constitutively active serotonin6 receptors as new paradigm in neuropathic pain and its treatment. | Early 5-HT6 receptor blockade prevents symptom onset in a model of adolescent cannabis abuse.,https://pubmed.ncbi.nlm.nih.gov/40757510/ | https://pubmed.ncbi.nlm.nih.gov/40069248/ | https://pubmed.ncbi.nlm.nih.gov/36830733/ | https://pubmed.ncbi.nlm.nih.gov/34576341/ | https://pubmed.ncbi.nlm.nih.gov/32512114/ | https://pubmed.ncbi.nlm.nih.gov/32329240/,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,6,Sirolimus currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
8,Prazosin,MT2-related exploratory candidate,Chemical / small molecule,5-HT6 receptor; MT2 receptor,No,No,No,Yes,Yes,0.9143102169036865,High,Indirect/context evidence,D,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,12,0.5,0.7433016409873963,PubMed + PMC,2015; 2023; 2025,25429515; 36982863; 39537039,PMC10051954,Canadian journal of physiology and pharmacology; International journal of molecular sciences; The Journal of nutritional biochemistry,10.1016/j.jnutbio.2024.109800; 10.1139/cjpp-2014-0254; 10.3390/ijms24065789,Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats. | Regulation of Aqueous Humor Secretion by Melatonin in Porcine Ciliary Epithelium. | Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,https://pubmed.ncbi.nlm.nih.gov/39537039/ | https://pubmed.ncbi.nlm.nih.gov/36982863/ | https://pubmed.ncbi.nlm.nih.gov/25429515/,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,3,"Prazosin appears in literature related to 5-HT6 receptor, MT2 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence
9,Naloxone,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9209599494934082,High,Unvalidated,E,,3,0.5,0.7296239671707153,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,5284596,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,1,Naloxone currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority
10,SB-399885,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8629044890403748,High,Direct receptor evidence,C,"Characterization of Behavioral, Signaling and Cytokine Alterations in a Rat Neurodevelopmental Model for Schizophrenia, and Their Reversal by the 5-HT6 Receptor Antagonist SB-399885.",49,0.25,0.7213879178762436,PubMed + PMC,2014; 2015; 2017; 2018; 2019; 2021; 2023; 2025,23954911; 25034463; 25837696; 25863120; 25932719; 28271324; 29423817; 29491159; 29502275; 30452930; 31586629; 34467765; 37776946; 37783559; 40885239,PMC3889519; PMC5923087; PMC6096968; PMC8474115,ACS chemical neuroscience; Behavioural brain research; Behavioural pharmacology; European journal of pharmacology; International review of neurobiology; Journal of medicinal chemistry; Journal of virology; Molecular neurobiology; Neurochemical research; Neuropharmacology; Neuroscience; Psychopharmacology,10.1007/s00213-013-3234-2; 10.1007/s00213-018-4866-z; 10.1007/s11064-017-2217-9; 10.1007/s12035-014-8806-6; 10.1007/s12035-018-0940-0; 10.1016/bs.irn.2023.05.018; 10.1016/j.bbr.2018.11.021; 10.1016/j.ejphar.2019.172718; 10.1016/j.ejphar.2025.178099; 10.1016/j.neuropharm.2015.03.032; 10.1016/j.neuroscience.2023.09.013; 10.1021/acs.jmedchem.1c00224; 10.1021/acschemneuro.5b00061; 10.1097/FBP.0000000000000140; 10.1128/JVI.01982-17,"Serotonin type 6 receptor inverse agonists and neutral antagonists inhibit defecation: relevance to intestinal motility disorders. | Stress induced exacerbation of Alzheimer's disease brain pathology is thwarted by co-administration of nanowired cerebrolysin and monoclonal amyloid beta peptide antibodies with serotonin 5-HT6 receptor antagonist SB-399885. | 5-HT6 Receptors Control GABAergic Transmission and CA1 Pyramidal Cell Output of Dorsal Hippocampus. | Structure-Based Design and Optimization of FPPQ, a Dual-Acting 5-HT3 and 5-HT6 Receptor Antagonist with Antipsychotic and Procognitive Properties. | 5-HT6 receptor antagonism reduces defecation in rat: A potential treatment strategy for irritable bowel syndrome with diarrhea. | Intrahippocampal administration of 5-HT6 receptor drugs on memory consolidation and amnesia protocols. | 5-HT6 receptor agonist and antagonist modulates ICV-STZ-induced memory impairment in rats. | Identification of Piperazinylbenzenesulfonamides as New Inhibitors of Claudin-1 Trafficking and Hepatitis C Virus Entry. | Characterization of Behavioral, Signaling and Cytokine Alterations in a Rat Neurodevelopmental Model for Schizophrenia, and Their Reversal by the 5-HT6 Receptor Antagonist SB-399885. | 5-HT6 Receptor Agonist and Antagonist Against β-Amyloid-Peptide-Induced Neurotoxicity in PC-12 Cells. | Pharmacological profile of encounter-induced hyperactivity in isolation-reared mice. | Olanzapine augments the effect of selective serotonin reuptake inhibitors by suppressing GABAergic inhibition via antagonism of 5-HT₆ receptors in the dorsal raphe nucleus. | Pharmacological Evidence for 5-HT6 Receptor Modulation of 5-HT Neuron Firing in Vivo. | 5-HT6 Receptor Recruitment of mTOR Modulates Seizure Activity in Epilepsy. | Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats.",https://pubmed.ncbi.nlm.nih.gov/40885239/ | https://pubmed.ncbi.nlm.nih.gov/37783559/ | https://pubmed.ncbi.nlm.nih.gov/37776946/ | https://pubmed.ncbi.nlm.nih.gov/34467765/ | https://pubmed.ncbi.nlm.nih.gov/31586629/ | https://pubmed.ncbi.nlm.nih.gov/30452930/ | https://pubmed.ncbi.nlm.nih.gov/29502275/ | https://pubmed.ncbi.nlm.nih.gov/29491159/ | https://pubmed.ncbi.nlm.nih.gov/29423817/ | https://pubmed.ncbi.nlm.nih.gov/28271324/ | https://pubmed.ncbi.nlm.nih.gov/25932719/ | https://pubmed.ncbi.nlm.nih.gov/25863120/ | https://pubmed.ncbi.nlm.nih.gov/25837696/ | https://pubmed.ncbi.nlm.nih.gov/25034463/ | https://pubmed.ncbi.nlm.nih.gov/23954911/,6918649,COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Cl)OC)N3CCNCC3,15,SB-399885 has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay
