Rank,Molecule,Candidate Type,Related Receptor,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Priority Score,Literature Score,Receptor Relevance,Database,Year,PMID,PMCID,Journal,Authors,DOI,Article Title,PubMed Link,PMC Link,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step,Article Link
1,5-(Nonyloxy)Tryptamine,Close/related orphan GPCR candidate,GPR61,No,Yes,No,No,No,0.9802038669586182,High,Direct receptor evidence,B,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,0.8556325135231019,3,0.85,PubMed,2019,31352450,,Pharmacology,Kozielewicz P; Grafton G; Sajkowska-Kozielewicz JJ; Barnes NM,10.1159/000501926,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,https://pubmed.ncbi.nlm.nih.gov/31352450/,,1797,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN,1,5-(Nonyloxy)Tryptamine has experimental receptor evidence involving GPR61 and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,https://pubmed.ncbi.nlm.nih.gov/31352450/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2026,42166832,,Cryobiology,Jiang SN; Zhang X; Si LN; Wei M; Wei XH; Wang YW; Sun TC; Yang SH; Chen ZH; Cheng LY,10.1016/j.cryobiol.2026.105645,Protective effects of melatonin on mouse ovarian tissue against oxidative stress and ferroptosis may involve the MT1 receptor.,https://pubmed.ncbi.nlm.nih.gov/42166832/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/42166832/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2026,42118091,PMC13165690,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,Pyanova A; Kalentchuk VU; Serebryakov VN; Schubert R,10.1096/fj.202601214R,Orchestration of PKC-Mediated Inhibition and Calcium Release-Mediated Activation of BK Currents in Rat Vascular Smooth Muscle Cells by Melatonin Confers a BK-Channel-Dependent Restraint on Melatonin-Induced Vasocontraction.,https://pubmed.ncbi.nlm.nih.gov/42118091/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13165690/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/42118091/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,Gauthereau-Torres MY; Martínez-Guillen JS; Cervantes-Durán C; Gutiérrez-García CJ; Godínez-Hernández D; Aguilera Méndez A; Ortega-Varela LF,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12389105/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40871079/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2025,40801619,PMC12345928,Cells,Miranda-Riestra A; Estrada-Reyes R; Constantino-Jonapa LA; Argueta J; Oikawa-Sala J; Reséndiz-Gachús MA; Albarrán-Gaona D; Benítez-King G,10.3390/cells14151187,Enhanced Modulation of CaMKII in Mouse Hippocampus by an Antidepressant-like Dose of Melatonin/Ketamine Combination.,https://pubmed.ncbi.nlm.nih.gov/40801619/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12345928/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/40801619/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2025,39537039,,The Journal of nutritional biochemistry,Kilinc E; Torun IE; Baranoglu Kilinc Y; Töre F,10.1016/j.jnutbio.2024.109800,Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats.,https://pubmed.ncbi.nlm.nih.gov/39537039/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/39537039/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2023,37834395,PMC10573520,International journal of molecular sciences,Möller JKS; Linowiecka K; Gagat M; Brożyna AA; Foksiński M; Wolnicka-Glubisz A; Pyza E; Reiter RJ; Tulic MK; Slominski AT; Steinbrink K; Kleszczyński K,10.3390/ijms241914947,Melanogenesis Is Directly Affected by Metabolites of Melatonin in Human Melanoma Cells.,https://pubmed.ncbi.nlm.nih.gov/37834395/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10573520/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/37834395/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2023,37742475,,Biochemical and biophysical research communications,Dong S; Kifune T; Kato H; Wang L; Kong J; Hirofuji Y; Sun X; Sato H; Ito Y; Kato TA; Sakai Y; Ohga S; Fukumoto S; Masuda K,10.1016/j.bbrc.2023.09.050,Effects of melatonin on dopaminergic neuron development via IP3-mediated mitochondrial Ca2+ regulation in autism spectrum disorder.,https://pubmed.ncbi.nlm.nih.gov/37742475/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/37742475/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed,2023,37717795,,Free radical biology & medicine,Ma SJ; Li C; Yan C; Liu N; Jiang GY; Yang HR; Yan HC; Li JY; Liu HL; Gao C,10.1016/j.freeradbiomed.2023.09.012,Melatonin alleviates early brain injury by inhibiting the NRF2-mediated ferroptosis pathway after subarachnoid hemorrhage.,https://pubmed.ncbi.nlm.nih.gov/37717795/,,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/37717795/
2,luzindole,MT2-related exploratory candidate,MT2 receptor,No,No,No,Yes,No,0.9529802799224854,High,Unvalidated,E,,0.8444371819496155,68,0.5,PubMed + PMC,2023,37569306,PMC10419066,International journal of molecular sciences,Durkina AV; Szeiffova Bacova B; Bernikova OG; Gonotkov MA; Sedova KA; Cuprova J; Vaykshnorayte MA; Diez ER; Prado NJ; Azarov JE,10.3390/ijms241511931,Blockade of Melatonin Receptors Abolishes Its Antiarrhythmic Effect and Slows Ventricular Conduction in Rat Hearts.,https://pubmed.ncbi.nlm.nih.gov/37569306/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10419066/,122162,CC(=O)NCCC1=C(NC2=CC=CC=C21)CC3=CC=CC=C3,23,luzindole currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,https://pubmed.ncbi.nlm.nih.gov/37569306/
