Rank,Molecule,Candidate Type,Entity Class,Related Receptors,GPR62,GPR61,GPR135,MT2,5-HT6,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Evidence Sentence,Literature Score,Receptor Relevance,Priority Score,Source,Years,PMIDs,PMCIDs,Journals,DOIs,Article Titles,Article Links,PubChem CID,SMILES,Paper Count,Interpretation,Recommended Next Step,Presentation Priority Score,Priority
1,5-(Nonyloxy)Tryptamine,Close/related orphan GPCR candidate,Chemical / small molecule,GPR61,No,Yes,No,No,No,0.9802038669586182,High,Direct receptor evidence,B,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,3,0.85,0.8556325135231019,PubMed,2019,31352450,,Pharmacology,10.1159/000501926,Overexpression of Orphan Receptor GPR61 Increases cAMP Levels upon Forskolin Stimulation in HEK293 Cells: in vitro and in silico Validation of 5-(Nonyloxy)Tryptamine as a Low-Affinity Inverse Agonist.,https://pubmed.ncbi.nlm.nih.gov/31352450/,1797,CCCCCCCCCOC1=CC2=C(C=C1)NC=C2CCN,1,5-(Nonyloxy)Tryptamine has experimental receptor evidence involving GPR61 and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,0.9406223201751709,High
11,GSK215083,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.968027651309967,High,Direct receptor evidence,C,Human Kinetic Modeling of the 5HT6 PET Radioligand 11C-GSK215083 and Its Utility for Determining Occupancy at Both 5HT6 and 5HT2A Receptors by SB742457 as a Potential Therapeutic Mechanism of Action in Alzheimer Disease.,12,0.25,0.7157179733514786,PubMed + PMC,2015; 2018; 2020,25331460; 26383152; 29626125; 31760336,PMC6126437,"European journal of nuclear medicine and molecular imaging; Journal of nuclear medicine : official publication, Society of Nuclear Medicine; Psychiatry research. Neuroimaging",10.1007/s00259-014-2936-y; 10.1016/j.pscychresns.2019.111007; 10.2967/jnumed.115.162743; 10.2967/jnumed.117.206516,In vivo 5-HT6 and 5-HT2A receptor availability in antipsychotic treated schizophrenia patients vs. unmedicated healthy humans measured with [11C]GSK215083 PET. | Age-Related Change in 5-HT6 Receptor Availability in Healthy Male Volunteers Measured with 11C-GSK215083 PET. | Human Kinetic Modeling of the 5HT6 PET Radioligand 11C-GSK215083 and Its Utility for Determining Occupancy at Both 5HT6 and 5HT2A Receptors by SB742457 as a Potential Therapeutic Mechanism of Action in Alzheimer Disease. | Preclinical evaluation of [18F]2FNQ1P as the first fluorinated serotonin 5-HT6 radioligand for PET imaging.,https://pubmed.ncbi.nlm.nih.gov/31760336/ | https://pubmed.ncbi.nlm.nih.gov/29626125/ | https://pubmed.ncbi.nlm.nih.gov/26383152/ | https://pubmed.ncbi.nlm.nih.gov/25331460/,10172764,CN1CCN(CC1)C2=CC=CC3=CC(=CN=C32)S(=O)(=O)C4=CC=CC(=C4)F,4,GSK215083 has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,0.8058165907859802,High
21,FPPQ,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9154468774795532,High,Direct receptor evidence,C,Dual 5-HT3 and 5-HT6 Receptor Antagonist FPPQ Normalizes Phencyclidine-Induced Disruption of Brain Oscillatory Activity in Rats.,17,0.25,0.6915404703617096,PubMed + PMC,2021; 2022,34467765; 35022720,PMC8474115; PMC9154270,Journal of medicinal chemistry; The international journal of neuropsychopharmacology,10.1021/acs.jmedchem.1c00224; 10.1093/ijnp/pyac003,"Dual 5-HT3 and 5-HT6 Receptor Antagonist FPPQ Normalizes Phencyclidine-Induced Disruption of Brain Oscillatory Activity in Rats. | Structure-Based Design and Optimization of FPPQ, a Dual-Acting 5-HT3 and 5-HT6 Receptor Antagonist with Antipsychotic and Procognitive Properties.",https://pubmed.ncbi.nlm.nih.gov/35022720/ | https://pubmed.ncbi.nlm.nih.gov/34467765/,90469115,C1CN(CCN1)C2=NC3=CC=CC=C3C4=C2C=CN4S(=O)(=O)C5=CC=CC(=C5)F,2,FPPQ has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,0.7742681264877319,Medium
6,haloperidol decanoate,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9746153354644775,High,Indirect/context evidence,D,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",1,0.5,0.7604999680519104,PubMed,2024,38816228,,The Journal of pharmacology and experimental therapeutics,10.1124/jpet.123.002087,"High-dose Agomelatine Combined with Haloperidol Decanoate Improves Cognition, Downregulates MT2, Upregulates D5, and Maintains Krüppel-like Factor 9 But Alters Cardiac Electrophysiology.",https://pubmed.ncbi.nlm.nih.gov/38816228/,52919,CCCCCCCCCC(=O)OC1(CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,1,"haloperidol decanoate appears in literature related to MT2 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence,0.7597692012786864,Medium
36,1-phenylbenzazepine,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8779258728027344,High,Direct receptor evidence,C,"Synthesis, pharmacological evaluations, and molecular docking studies on a new 1,3,4,11b-tetrahydro-1H-fluoreno[9,1-cd]azepine framework: Rigidification of D1 receptor selective 1-phenylbenzazepines and discovery of a new 5-HT6 receptor scaffold.",3,0.25,0.6391518173217774,PubMed + PMC,2020,32279445,PMC7442682,Chemical biology & drug design,10.1111/cbdd.13691,"Synthesis, pharmacological evaluations, and molecular docking studies on a new 1,3,4,11b-tetrahydro-1H-fluoreno[9,1-cd]azepine framework: Rigidification of D1 receptor selective 1-phenylbenzazepines and discovery of a new 5-HT6 receptor scaffold.",https://pubmed.ncbi.nlm.nih.gov/32279445/,20503322,C1=CC=C(C=C1)N2C=CC=CC3=CC=CC=C32,1,1-phenylbenzazepine has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,0.7517555236816406,Medium
10,SB-399885,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.8629044890403748,High,Direct receptor evidence,C,"Characterization of Behavioral, Signaling and Cytokine Alterations in a Rat Neurodevelopmental Model for Schizophrenia, and Their Reversal by the 5-HT6 Receptor Antagonist SB-399885.",49,0.25,0.7213879178762436,PubMed + PMC,2014; 2015; 2017; 2018; 2019; 2021; 2023; 2025,23954911; 25034463; 25837696; 25863120; 25932719; 28271324; 29423817; 29491159; 29502275; 30452930; 31586629; 34467765; 37776946; 37783559; 40885239,PMC3889519; PMC5923087; PMC6096968; PMC8474115,ACS chemical neuroscience; Behavioural brain research; Behavioural pharmacology; European journal of pharmacology; International review of neurobiology; Journal of medicinal chemistry; Journal of virology; Molecular neurobiology; Neurochemical research; Neuropharmacology; Neuroscience; Psychopharmacology,10.1007/s00213-013-3234-2; 10.1007/s00213-018-4866-z; 10.1007/s11064-017-2217-9; 10.1007/s12035-014-8806-6; 10.1007/s12035-018-0940-0; 10.1016/bs.irn.2023.05.018; 10.1016/j.bbr.2018.11.021; 10.1016/j.ejphar.2019.172718; 10.1016/j.ejphar.2025.178099; 10.1016/j.neuropharm.2015.03.032; 10.1016/j.neuroscience.2023.09.013; 10.1021/acs.jmedchem.1c00224; 10.1021/acschemneuro.5b00061; 10.1097/FBP.0000000000000140; 10.1128/JVI.01982-17,"Serotonin type 6 receptor inverse agonists and neutral antagonists inhibit defecation: relevance to intestinal motility disorders. | Stress induced exacerbation of Alzheimer's disease brain pathology is thwarted by co-administration of nanowired cerebrolysin and monoclonal amyloid beta peptide antibodies with serotonin 5-HT6 receptor antagonist SB-399885. | 5-HT6 Receptors Control GABAergic Transmission and CA1 Pyramidal Cell Output of Dorsal Hippocampus. | Structure-Based Design and Optimization of FPPQ, a Dual-Acting 5-HT3 and 5-HT6 Receptor Antagonist with Antipsychotic and Procognitive Properties. | 5-HT6 receptor antagonism reduces defecation in rat: A potential treatment strategy for irritable bowel syndrome with diarrhea. | Intrahippocampal administration of 5-HT6 receptor drugs on memory consolidation and amnesia protocols. | 5-HT6 receptor agonist and antagonist modulates ICV-STZ-induced memory impairment in rats. | Identification of Piperazinylbenzenesulfonamides as New Inhibitors of Claudin-1 Trafficking and Hepatitis C Virus Entry. | Characterization of Behavioral, Signaling and Cytokine Alterations in a Rat Neurodevelopmental Model for Schizophrenia, and Their Reversal by the 5-HT6 Receptor Antagonist SB-399885. | 5-HT6 Receptor Agonist and Antagonist Against β-Amyloid-Peptide-Induced Neurotoxicity in PC-12 Cells. | Pharmacological profile of encounter-induced hyperactivity in isolation-reared mice. | Olanzapine augments the effect of selective serotonin reuptake inhibitors by suppressing GABAergic inhibition via antagonism of 5-HT₆ receptors in the dorsal raphe nucleus. | Pharmacological Evidence for 5-HT6 Receptor Modulation of 5-HT Neuron Firing in Vivo. | 5-HT6 Receptor Recruitment of mTOR Modulates Seizure Activity in Epilepsy. | Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats.",https://pubmed.ncbi.nlm.nih.gov/40885239/ | https://pubmed.ncbi.nlm.nih.gov/37783559/ | https://pubmed.ncbi.nlm.nih.gov/37776946/ | https://pubmed.ncbi.nlm.nih.gov/34467765/ | https://pubmed.ncbi.nlm.nih.gov/31586629/ | https://pubmed.ncbi.nlm.nih.gov/30452930/ | https://pubmed.ncbi.nlm.nih.gov/29502275/ | https://pubmed.ncbi.nlm.nih.gov/29491159/ | https://pubmed.ncbi.nlm.nih.gov/29423817/ | https://pubmed.ncbi.nlm.nih.gov/28271324/ | https://pubmed.ncbi.nlm.nih.gov/25932719/ | https://pubmed.ncbi.nlm.nih.gov/25863120/ | https://pubmed.ncbi.nlm.nih.gov/25837696/ | https://pubmed.ncbi.nlm.nih.gov/25034463/ | https://pubmed.ncbi.nlm.nih.gov/23954911/,6918649,COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Cl)OC)N3CCNCC3,15,SB-399885 has experimental receptor evidence involving 5-HT6 receptor and is being evaluated as a possible GPR62 candidate.,Prioritize for GPR62 binding/signaling assay,0.7427426934242248,Medium
12,PRX-07034,5-HT6 exploratory candidate,Chemical / small molecule,5-HT6 receptor,No,No,No,No,Yes,0.9859885573387146,High,Indirect/context evidence,D,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,6,0.25,0.7153925622701646,PubMed,2015,25429515,,Canadian journal of physiology and pharmacology,10.1139/cjpp-2014-0254,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,https://pubmed.ncbi.nlm.nih.gov/25429515/,23653584,CC(C1=C(C(=CC(=C1)Cl)OC)OC)NC2=C(C=CC(=C2)N3CCNCC3)S(=O)(=O)C.Cl,1,"PRX-07034 appears in literature related to 5-HT6 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence,0.7290931344032286,Medium
8,Prazosin,MT2-related exploratory candidate,Chemical / small molecule,5-HT6 receptor; MT2 receptor,No,No,No,Yes,Yes,0.9143102169036865,High,Indirect/context evidence,D,Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,12,0.5,0.7433016409873963,PubMed + PMC,2015; 2023; 2025,25429515; 36982863; 39537039,PMC10051954,Canadian journal of physiology and pharmacology; International journal of molecular sciences; The Journal of nutritional biochemistry,10.1016/j.jnutbio.2024.109800; 10.1139/cjpp-2014-0254; 10.3390/ijms24065789,Proposed receptor-mediated mechanisms of melatonin in nitroglycerin-induced migraine-like hyperalgesic conditions in rats. | Regulation of Aqueous Humor Secretion by Melatonin in Porcine Ciliary Epithelium. | Low-dose prazosin in combination with 5-HT6 antagonist PRX-07034 has antipsychotic effects.,https://pubmed.ncbi.nlm.nih.gov/39537039/ | https://pubmed.ncbi.nlm.nih.gov/36982863/ | https://pubmed.ncbi.nlm.nih.gov/25429515/,4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,3,"Prazosin appears in literature related to 5-HT6 receptor, MT2 receptor, but direct receptor interaction has not been established.",Review full article for direct receptor evidence,0.7235861301422118,Medium
4,dorsomorphin,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9938246011734009,High,Unvalidated,E,,3,0.5,0.7769859907627106,PubMed + PMC,2025,40871079,PMC12389105,Pharmaceutics,10.3390/pharmaceutics17081057,Preclinical Assessment of a Metformin-Melatonin Combination: Antinociceptive Synergism.,https://pubmed.ncbi.nlm.nih.gov/40871079/,11524144,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,1,dorsomorphin currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6962947607040405,Medium
5,SCHEMBL7562664,MT2-related exploratory candidate,Chemical / small molecule,MT2 receptor,No,No,No,Yes,No,0.9779346585273743,High,Unvalidated,E,,3,0.5,0.7666575280427933,PubMed,2025,40424842,,Journal of molecular graphics & modelling,10.1016/j.jmgm.2025.109086,In silico discovery of multi-target small molecules and efficient siRNA design to overcome drug resistance in breast cancer via local therapy.,https://pubmed.ncbi.nlm.nih.gov/40424842/,70130285,CC(CCC(=C(C)C)CCO)C1CCC2C1(CCC3C2CC=C4C3(CCCC4)C)C,1,SCHEMBL7562664 currently has an ML prediction but requires stronger receptor-specific literature validation.,Literature validation needed before experimental priority,0.6867607951164245,Medium
