Molecule / Candidate,Entity Class,Relationship to GPR62,Direct GPR62 Evidence,Direct GPR62 PMIDs,Direct GPR62 Paper Count,GPR61,GPR135,MT2,5-HT6,Related Receptors,GPCRLigNet Score,ML Prediction,Experimental Validation,Evidence Level,Literature Score,Priority Score,PubChem CID,SMILES,Related Paper Count
Colforsin,Experimental / pharmacological compound,Assay / signaling compound,Yes,26384023,1,Yes,No,Yes,No,GPR61; GPR62; MT2 receptor,0.06674189865589142,Low,Unvalidated,E,3,0.2993822341263294,47936,CC(=O)OC1C(C2C(CCC(C2(C3(C1(OC(CC3=O)(C)C=C)C)O)C)O)(C)C)O,3
GPR61,Protein / gene product,Related orphan GPCR,Yes,11165367; 26384023; 28289782; 28827538; 28912303; 29699692; 32599826,7,No,No,No,No,,,,,,,,,,
GPR50,Protein / gene product,Related melatonin-receptor family context,Yes,28289782; 29699692; 32599826,3,No,No,No,No,,,,,,,,,,
GPR135,Protein / gene product,Related orphan GPCR,Yes,28827538; 29699692; 32599826,3,No,No,No,No,,,,,,,,,,
cAMP,Second messenger,Downstream signaling / constitutive activity,Yes,28827538; 28912303,2,No,No,No,No,,,,,,,,,,
MT2A,Protein / gene product,Melatonin-receptor interaction context,Yes,28827538; 29699692,2,No,No,No,No,,,,,,,,,,
SNHG3,Protein / gene product,Gene-regulatory GPR62 context,Yes,37809703; 41394987,2,No,No,No,No,,,,,,,,,,
Melatonin,Hormone / endogenous small molecule,Experimentally tested — negative direct binding,Yes,28827538,1,No,No,No,No,,,,,,,,,,
MT1IP,Protein / gene product,Melatonin-receptor interaction context,Yes,29699692,1,No,No,No,No,,,,,,,,,,
HTR2C,Protein / gene product,Related receptor / heteromerization context,Yes,29699692,1,No,No,No,No,,,,,,,,,,
C1QA,Protein / endogenous ligand candidate,Potential protein ligand / receptor-screen context,Yes,32894219,1,No,No,No,No,,,,,,,,,,
CD44,Protein / gene product,Co-identified receptor/signaling candidate,Yes,32894219,1,No,No,No,No,,,,,,,,,,
ADGRB1,Protein / gene product,Co-identified receptor/signaling candidate,Yes,32894219,1,No,No,No,No,,,,,,,,,,
MET,Protein / gene product,Co-identified receptor/signaling candidate,Yes,32894219,1,No,No,No,No,,,,,,,,,,
ADCY5,Protein / gene product,Co-identified receptor/signaling candidate,Yes,32894219,1,No,No,No,No,,,,,,,,,,
